NAME,FIRSTREF,FIRSTURL,DATE,NUM_OBS,MASS(mjupiter),RADIUS(rjupiter),PERIOD(day),ECCENTRICITY,SEMI_MAJOR_AXIS(AU),SEPARATION(AU),STAR_NAME,DIST(PARSEC),RA_STRING(h:m:s),DEC_STRING(d:m:s),STAR_MASS(msun),STAR_RADIUS(rsun)
gamma Cep b,Campbell 1988,http://adsabs.harvard.edu/abs/1988ApJ...331..902C,1988,131,1.51728,,905.574,0.12,1.9793,1.9793,gamma Cep,14.1024,+23:39:20.98,+77:37:55.08,1.26,5.01
HD 114762 b,Latham 1989,http://adsabs.harvard.edu/abs/1989Natur.339...38L,1989,74,11.6351,,83.9151,0.3354,0.362932,0.362932,HD 114762,38.6548,+13:12:20.10,+17:31:01.66,0.894578,0.859205
PSR B1257+12 B,Wolszczan 1992,http://adsabs.harvard.edu//abs/1992Natur.355..145W,1992,,0.0135305,,66.5419,0.0186,0.321369,0.321369,PSR B1257+12,,13:00:03.577,+12:40:56.4,,
PSR B1257+12 A,Wolszczan 1992,http://adsabs.harvard.edu//abs/1992Natur.355..145W,1992,,0.0000629267,,25.262,0,0.168494,0.168494,PSR B1257+12,,13:00:03.577,+12:40:56.4,,
beta Gem b,Hatzes 1993,http://adsabs.harvard.edu/abs/1993ApJ...413..339H,1993,55,2.75822,,589.64001,0.02,1.75739,1.75739,beta Gem,10.3584,+07:45:19.36,+28:01:34.72,2.08,8.15609
PSR B1257+12 C,Wolszczan 1994,http://adsabs.harvard.edu//abs/1994Sci...264..538W,1994,,0.0122719,,98.2114,0.0252,0.416595,0.416595,PSR B1257+12,,13:00:03.577,+12:40:56.4,,
51 Peg b,Mayor 1995,http://adsabs.harvard.edu/abs/1995Natur.378..355M,1995,256,0.461143,,4.230785,0.013,0.0521068,0.0521068,51 Peg,15.6079,+22:57:27.85,+20:46:07.26,1.054,1.02451
47 UMa b,Butler 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.153B,1996,,2.54589,,1078,0.032,2.10149,2.10149,47 UMa,14.0627,+10:59:28.22,+40:25:48.44,1.063,1.11869
70 Vir b,Marcy 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.147M,1996,74,7.46144,,116.6884,0.4007,0.483601,0.483601,70 Vir,17.9856,+13:28:25.95,+13:46:48.68,1.101,1.59775
16 Cyg B b,Cochran 1997,http://adsabs.harvard.edu/abs/1997ApJ...483..457C,1997,95,1.63997,,798.5,0.681,1.66027,1.66027,16 Cyg B,21.2134,+19:41:52.10,+50:31:04.51,0.956,1.1176
tau Boo b,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,1997,98,5.95,,3.312433,0.023,0.0480039,0.0480039,tau Boo,15.6177,+13:47:16.04,+17:27:24.39,1.341,1.41847
rho CrB b,Noyes 1997,http://adsabs.harvard.edu/abs/1997ApJ...483L.111N,1997,26,1.06409,,39.8449,0.057,0.225692,0.225692,rho CrB,17.2354,+16:01:02.80,+33:18:19.40,0.965,1.10084
55 Cnc b,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,1997,663,0.801471,,14.651,0.004,0.113377,0.113377,55 Cnc,12.3411,+08:52:36.13,+28:19:53.00,0.905,0.943
upsilon And b,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,1997,284,0.669277,,4.6171363,0.013,0.0593858,0.0593858,upsilon And,13.4916,+01:36:47.98,+41:24:22.99,1.31,1.383
HD 187123 b,Butler 1998,http://adsabs.harvard.edu/abs/1998PASP..110.1389B,1998,76,0.510056,,3.0965828,0.0102736,0.042091,0.042091,HD 187123,48.2626,+19:46:58.01,+34:25:11.37,1.037,1.14277
