trans id,employee id,type,amount,unit price
0,5,frobniz,166,0.75
1,3,frobniz,97,0.75
2,5,widget,744,1.99
3,6,widget,970,1.99
4,2,frobniz,393,0.75
5,2,widget,854,1.99
6,5,frobniz,102,0.75
7,5,frobniz,65,0.75
8,2,frobniz,64,0.75
9,4,frobniz,77,0.75
10,3,frobniz,178,0.75
11,2,frobniz,729,0.75
12,6,widget,815,1.99
13,5,widget,250,1.99
14,5,frobniz,457,0.75
15,6,frobniz,205,0.75
16,3,frobniz,810,0.75
17,6,widget,223,1.99
18,3,widget,815,1.99
19,6,frobniz,902,0.75
20,6,frobniz,516,0.75
21,4,frobniz,609,0.75
22,6,frobniz,886,0.75
23,4,widget,474,1.99
24,3,widget,367,1.99
25,6,widget,124,1.99
26,6,widget,603,1.99
27,6,widget,994,1.99
28,3,frobniz,507,0.75
29,5,widget,672,1.99
30,5,frobniz,331,0.75
31,6,frobniz,693,0.75
32,2,widget,306,1.99
33,2,frobniz,100,0.75
34,6,frobniz,471,0.75
35,6,frobniz,810,0.75
36,4,frobniz,701,0.75
37,4,widget,285,1.99
38,3,frobniz,321,0.75
39,5,widget,490,1.99
